
running 75 tests
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_7_dash\42

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_89_count stdout ----

thread 'feature_89_count' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Sherlock" "." "--null" "--count"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_89_count\43

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_89_files stdout ----

thread 'feature_89_files' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "NADA" "." "--null" "--files"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_89_files\44

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_89_files_with_matches stdout ----

thread 'feature_89_files_with_matches' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Sherlock" "." "--null" "--files-with-matches"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_89_files_with_matches\45

status: exit code: 0xc0000409

stdout: 

